id,split,semantic_id,pattern_id,group_tag,role,text
415,train,sem_seed_move_past_cont,move:past_cont,singleton,single-seed,He was going to the town.
416,train,sem_0154,call:decl,para3,lex,You call a friend.
417,train,sem_0126,acq:decl,para3,lex,He buy a phone.
418,train,sem_0113,watch:decl,para3,base,He observe a show.
419,train,sem_0007,watch:decl,para4,lex,You watch a movie.
420,train,sem_0107,drink:decl,para3,base,They have dinner.
421,train,sem_0122,social:front_time,para3,order,"Yesterday, They use a computer."
422,train,sem_0022,learn:front_place,para4,order,"at the town, She learn a book."
423,train,sem_seed_acq_future_will,acq:future_will,singleton,single-seed,She will buy a movie.
424,train,sem_0081,play:decl,para3,lex,I play music.
425,train,sem_single_0962,acq:wh_where,singleton,single,Where do You buy?
426,train,sem_seed_acq_ynq_do,acq:ynq_do,singleton,single-seed,does He get a show?
427,train,sem_0039,social:going_to,para4,tense,She is going to finish a movie.
428,train,sem_seed_drink_past_simple,drink:past_simple,singleton,single-seed,I sipped coffee.
429,train,sem_0056,move:front_time,para3,order,"Today, I jog to the office."
430,train,sem_0084,pref:past_simple,para3,tense,She likeed a film.
431,train,sem_single_0900,acq:negative_simple,singleton,single,We do not order pizza.
432,train,sem_0208,pref:decl,para3,base,We prefer lunch.
433,train,sem_0118,learn:decl,para3,lex,We read music.
434,train,sem_seed_call_going_to,call:going_to,singleton,single-seed,You are going to call my teacher.
435,train,sem_0021,call:past_simple,para4,tense,They contacted my father.
436,train,sem_0246,eat:decl,para3,base,They eat pizza.
437,train,sem_single_0938,drink:perfect_pr,singleton,single,He has drank coffee.
438,train,sem_0255,pref:decl,para3,base,You love a game.
439,train,sem_0176,call:decl,para3,base,I contact my father.
440,train,sem_0159,social:decl,para3,base,I choose coffee.
441,train,sem_single_0907,social:negative_simple,singleton,single,She does not choose coffee.
442,train,sem_0104,acq:decl,para3,base,We pick a movie.
443,train,sem_0296,pref:decl,para3,lex,I like music.
444,train,sem_seed_watch_modal_can,watch:modal_can,singleton,single-seed,They can see a movie.
445,train,sem_seed_learn_present_cont,learn:present_cont,singleton,single-seed,You are studying music.
446,train,sem_0032,acq:decl,para4,lex,We order music.
447,train,sem_seed_pref_negative_simple,pref:negative_simple,singleton,single-seed,We do not like a show.
448,train,sem_0024,play:front_time,para4,order,"Yesterday, You play music."
449,train,sem_0058,move:front_time,para3,order,"Today, She travel to home."
450,train,sem_0056,move:decl,para3,lex,I run to the office.
451,train,sem_0037,eat:front_place,para4,order,"in school, We have lunch."
452,train,sem_single_0963,drink:modal_can,singleton,single,We can drink juice.
453,train,sem_0192,drink:decl,para3,base,You drink tea.
454,train,sem_0251,social:decl,para3,lex,You choose lunch.
455,train,sem_seed_acq_front_place,acq:front_place,singleton,single-seed,"in the park, We pick a movie."
456,train,sem_0265,drink:decl,para3,lex,She drink a sandwich.
457,train,sem_0014,pref:front_place,para4,order,"at school, He enjoy a novel."
458,train,sem_seed_watch_going_to,watch:going_to,singleton,single-seed,They are going to observe a game.
459,train,sem_0018,call:front_time,para4,order,"Today, You text a friend."
460,train,sem_0243,learn:decl,para3,base,We read a book.
461,train,sem_0086,call:past_simple,para3,tense,He phoned my father.
462,train,sem_0023,play:decl,para4,base,He play a game.
463,train,sem_0019,eat:decl,para4,lex,You have pizza.
464,train,sem_0108,play:decl,para3,base,She play a game.
465,train,sem_seed_learn_comparative,learn:comparative,singleton,single-seed,This game is better than that film.
466,train,sem_single_0935,move:past_cont,singleton,single,I was going to the library.
467,train,sem_0274,move:decl,para3,lex,I visit at the station.
468,train,sem_0278,move:decl,para3,lex,They travel to home.
469,train,sem_0035,call:future_will,para4,tense,We will phone my father.
470,train,sem_0281,social:front_place,para3,order,"in home, We start a book."
471,train,sem_seed_social_decl,social:decl,singleton,single-seed,He use a book.
472,train,sem_0042,watch:present_cont,para4,tense,I am seeing a game.
473,train,sem_0024,play:decl,para4,lex,You play a song.
474,train,sem_0010,learn:front_place,para4,order,"in the town, She read a novel."
475,train,sem_0220,watch:decl,para3,base,You view a show.
476,train,sem_0027,pref:front_time,para4,order,"Yesterday, You like a movie."
477,train,sem_0043,learn:decl,para4,base,I review a book.
478,train,sem_single_0940,move:perfect_pr,singleton,single,She has returned at the city.
479,train,sem_0028,learn:decl,para4,lex,They study a song.
480,train,sem_0148,call:going_to,para3,tense,They are going to contact a friend.
481,train,sem_0174,acq:decl,para3,lex,I order a computer.
482,train,sem_single_0958,play:because_cause,singleton,single,"I play music, because it is warm."
483,train,sem_0131,eat:decl,para3,base,We order lunch.
484,train,sem_0207,watch:decl,para3,lex,You watch a film.
485,train,sem_single_0931,play:front_time,singleton,single,"Yesterday, You play a song."
486,train,sem_0181,drink:decl,para3,lex,He have juice.
487,train,sem_0170,drink:decl,para3,base,You drink juice.
488,train,sem_seed_acq_wh_what,acq:wh_what,singleton,single-seed,What do I order?
489,train,sem_0284,acq:front_place,para3,order,"at the cafe, He pick a sandwich."
490,train,sem_0052,watch:decl,para4,base,I observe a movie.
491,train,sem_0046,acq:front_time,para4,order,"Now, I order pizza."
492,train,sem_single_0965,pref:going_to,singleton,single,We are going to enjoy a sandwich.
493,train,sem_0091,eat:decl,para3,lex,I have lunch.
494,train,sem_0197,eat:present_cont,para3,tense,You are eatting lunch.
495,train,sem_seed_pref_imperative,pref:imperative,singleton,single-seed,Please prefer a sandwich.
496,train,sem_seed_learn_wh_what,learn:wh_what,singleton,single-seed,What do They read?
497,train,sem_0009,call:going_to,para4,tense,We are going to text my teacher.
498,train,sem_0288,call:front_place,para3,order,"in the library, She text my father."
499,train,sem_0025,learn:front_time,para4,order,"Today, He learn a novel."
500,train,sem_seed_acq_past_simple,acq:past_simple,singleton,single-seed,I got a sandwich.
501,train,sem_0071,pref:decl,para3,lex,We enjoy pizza.
502,train,sem_0044,learn:decl,para4,lex,He practice a book.
503,train,sem_0089,acq:decl,para3,lex,I purchase pizza.
504,train,sem_single_0971,eat:present_cont,singleton,single,He is haveing a sandwich.
505,train,sem_0069,acq:going_to,para3,tense,We are going to get a song.
506,train,sem_0220,watch:front_time,para3,order,"Today, You view a show."
507,train,sem_seed_drink_perfect_pr,drink:perfect_pr,singleton,single-seed,You have sipped coffee.
508,train,sem_seed_social_future_will,social:future_will,singleton,single-seed,He will use a book.
509,train,sem_0099,acq:modal_can,para3,tense,She can purchase a film.
510,train,sem_seed_acq_because_cause,acq:because_cause,singleton,single-seed,"She buy a movie, because it is warm."
511,train,sem_0087,play:decl,para3,lex,They play music.
512,train,sem_0064,play:decl,para3,base,I play a game.
513,train,sem_0284,acq:decl,para3,base,He pick a sandwich.
514,train,sem_single_0954,call:ynq_do,singleton,single,does He call my teacher?
515,train,sem_0022,learn:decl,para4,lex,She review a novel.
516,train,sem_0227,pref:decl,para3,base,I enjoy juice.
517,train,sem_0050,pref:future_will,para4,tense,They will like a show.
518,train,sem_seed_learn_going_to,learn:going_to,singleton,single-seed,She is going to review music.
519,train,sem_seed_learn_future_will,learn:future_will,singleton,single-seed,She will learn a novel.
520,train,sem_0091,eat:decl,para3,base,I order dinner.
521,train,sem_0189,move:front_place,para3,order,"at the cafe, You return."
522,train,sem_0130,pref:front_place,para3,order,"in the city, I love a song."
523,train,sem_seed_play_front_place,play:front_place,singleton,single-seed,"in the cafe, They play a song."
524,train,sem_0289,watch:decl,para3,lex,She observe a game.
525,train,sem_0045,pref:past_simple,para4,tense,I likeed a sandwich.
526,train,sem_0036,move:going_to,para4,tense,They are going to go to the station.
527,train,sem_single_0899,move:conditional_if,singleton,single,"If it is warm, He come to school."
528,train,sem_0156,drink:decl,para3,base,They sip water.
529,train,sem_0048,eat:decl,para4,base,They have pizza.
530,train,sem_0011,pref:front_place,para4,order,"at school, She love a song."
531,train,sem_0207,watch:going_to,para3,tense,You are going to see a movie.
532,train,sem_seed_eat_front_place,eat:front_place,singleton,single-seed,"in the cafe, She have lunch."
533,train,sem_0131,eat:decl,para3,lex,We have dinner.
534,train,sem_0113,watch:decl,para3,lex,He watch a show.
535,train,sem_seed_move_emph_do,move:emph_do,singleton,single-seed,We do jog to the park.
536,train,sem_single_0960,watch:modal_can,singleton,single,I can observe a movie.
537,train,sem_single_0959,learn:negative_simple,singleton,single,You do not practice a song.
538,train,sem_0008,drink:front_time,para4,order,"Yesterday, He sip coffee."
539,train,sem_0158,pref:decl,para3,base,You love a novel.
540,train,sem_0158,pref:future_will,para3,tense,You will love a novel.
541,train,sem_0014,pref:decl,para4,base,He enjoy a novel.
542,train,sem_0143,learn:decl,para3,base,She study music.
543,train,sem_0029,learn:decl,para4,base,They practice a song.
544,train,sem_0001,move:decl,para4,lex,You walk to the library.
545,train,sem_0152,pref:front_place,para3,order,"at home, He enjoy music."
546,train,sem_0202,drink:decl,para3,lex,She drink water.
547,train,sem_0002,call:past_simple,para4,tense,He called my teacher.
548,train,sem_0213,pref:front_place,para3,order,"at the town, We love water."
549,train,sem_0237,move:decl,para3,base,We travel to the station.
550,train,sem_seed_play_future_will,play:future_will,singleton,single-seed,We will play a song.
551,train,sem_0263,pref:decl,para3,base,We like water.
552,train,sem_0059,watch:present_cont,para3,tense,He is watching a game.
553,train,sem_0142,move:decl,para3,base,You visit at the cafe.
554,train,sem_0309,move:decl,para3,base,I arrive at home.
555,train,sem_0008,drink:decl,para4,base,He sip coffee.
556,train,sem_0083,move:decl,para3,base,He return at the town.
557,train,sem_0277,call:future_will,para3,tense,He will text my teacher.
558,train,sem_0217,watch:decl,para3,base,You observe a game.
559,train,sem_seed_eat_ynq_do,eat:ynq_do,singleton,single-seed,does She have a sandwich?
560,train,sem_seed_play_present_cont,play:present_cont,singleton,single-seed,She is playying music.
561,train,sem_0106,social:going_to,para3,tense,They are going to take a phone.
562,train,sem_0262,drink:decl,para3,lex,He have coffee.
563,train,sem_0152,pref:decl,para3,lex,He love a song.
564,train,sem_single_0989,watch:because_cause,singleton,single,"We watch a game, because it is warm."
565,train,sem_0046,acq:decl,para4,base,I order pizza.
566,train,sem_0111,social:decl,para3,base,We use a computer.
567,train,sem_seed_pref_past_simple,pref:past_simple,singleton,single-seed,He enjoyed lunch.
568,train,sem_0088,acq:decl,para3,lex,They get a sandwich.
569,train,sem_0031,social:decl,para4,lex,He start a computer.
570,train,sem_0161,eat:decl,para3,base,I eat dinner.
571,train,sem_seed_eat_conditional_if,eat:conditional_if,singleton,single-seed,"If it is warm, He eat pizza."
572,train,sem_0180,social:future_will,para3,tense,I will take a ticket.
573,train,sem_0261,move:decl,para3,base,I go to school.
574,train,sem_0035,call:decl,para4,base,We phone my father.
575,train,sem_single_0967,drink:wh_where,singleton,single,Where do They drink?
576,train,sem_0164,drink:decl,para3,base,We drink coffee.
577,train,sem_0191,acq:decl,para3,lex,They purchase pizza.
578,train,sem_single_0922,acq:modal_can,singleton,single,We can purchase a song.
579,train,sem_single_0996,play:front_place,singleton,single,"at school, I play a game."
580,train,sem_single_0957,play:perfect_pr,singleton,single,You have played a game.
581,train,sem_0184,call:decl,para3,lex,They phone a friend.
582,train,sem_0122,social:decl,para3,lex,They start a phone.
583,train,sem_0129,move:decl,para3,lex,You come to the station.
584,train,sem_single_0902,acq:because_cause,singleton,single,"He order a sandwich, because it is warm."
585,train,sem_seed_call_ynq_do,call:ynq_do,singleton,single-seed,do I phone a friend?
586,train,sem_0055,social:front_time,para4,order,"Today, They finish a game."
587,train,sem_0243,learn:decl,para3,lex,We review a novel.
588,train,sem_0073,social:decl,para3,base,They choose coffee.
589,train,sem_seed_move_comparative,move:comparative,singleton,single-seed,This game is better than that novel.
590,train,sem_0308,pref:modal_can,para3,tense,They can love a song.
591,train,sem_0058,move:decl,para3,lex,She walk to the cafe.
592,train,sem_0092,acq:decl,para3,lex,She get a book.
593,train,sem_seed_move_wh_what,move:wh_what,singleton,single-seed,What do We travel?
594,train,sem_0229,social:decl,para3,lex,You choose a novel.
595,train,sem_seed_play_modal_can,play:modal_can,singleton,single-seed,They can play music.
596,train,sem_seed_move_perfect_pr,move:perfect_pr,singleton,single-seed,They have arrived at the city.
597,train,sem_seed_acq_modal_can,acq:modal_can,singleton,single-seed,We can order lunch.
598,train,sem_seed_pref_present_cont,pref:present_cont,singleton,single-seed,We are liking a novel.
599,train,sem_0103,call:decl,para3,lex,They text my mother.
600,train,sem_0252,pref:decl,para3,base,We enjoy music.
601,train,sem_0136,social:decl,para3,lex,We start a computer.
602,train,sem_0157,pref:past_simple,para3,tense,We loveed tea.
603,train,sem_0084,pref:decl,para3,lex,She enjoy a movie.
604,train,sem_0191,acq:decl,para3,base,They order a sandwich.
605,train,sem_0040,call:modal_can,para4,tense,She can call my father.
606,train,sem_single_0908,move:modal_can,singleton,single,We can go to school.
607,train,sem_seed_drink_decl,drink:decl,singleton,single-seed,They sip juice.
608,train,sem_0049,move:decl,para4,base,I come to the town.
609,train,sem_seed_learn_wh_where,learn:wh_where,singleton,single-seed,Where does She review?
610,train,sem_0157,pref:decl,para3,base,We love tea.
611,train,sem_0114,social:front_place,para3,order,"in home, I help my mother."
612,train,sem_0127,social:decl,para3,lex,He finish my father.
613,train,sem_seed_play_wh_what,play:wh_what,singleton,single-seed,What does He play?
614,train,sem_single_0913,acq:going_to,singleton,single,He is going to purchase a film.
615,train,sem_0194,move:going_to,para3,tense,He is going to jog to home.
616,train,sem_0233,watch:decl,para3,base,You see a game.
617,train,sem_0045,pref:decl,para4,base,I like a sandwich.
618,train,sem_0076,watch:decl,para3,lex,We see a show.
619,train,sem_0133,move:present_cont,para3,tense,She is jogging to the town.
620,train,sem_0088,acq:front_place,para3,order,"in the park, They buy pizza."
621,train,sem_seed_play_wh_when,play:wh_when,singleton,single-seed,When does He play?
622,train,sem_single_0927,drink:wh_what,singleton,single,What do We sip?
623,train,sem_0053,eat:past_simple,para4,tense,She had a sandwich.
624,train,sem_0216,eat:decl,para3,base,I order a sandwich.
625,train,sem_seed_acq_conditional_if,acq:conditional_if,singleton,single-seed,"If it is warm, She order dinner."
626,train,sem_0137,learn:future_will,para3,tense,I will review a novel.
627,train,sem_0111,social:decl,para3,lex,We take a phone.
628,train,sem_0186,acq:front_place,para3,order,"in the city, They pick pizza."
629,train,sem_0010,learn:decl,para4,lex,She review a book.
630,train,sem_seed_play_comparative,play:comparative,singleton,single-seed,We prefer a game to that.
631,train,sem_0040,call:decl,para4,lex,She contact my mother.
632,train,sem_0157,pref:decl,para3,lex,We enjoy coffee.
633,train,sem_0201,watch:decl,para3,base,They watch a movie.
634,train,sem_0026,play:decl,para4,lex,He play music.
635,train,sem_0289,watch:front_place,para3,order,"in the office, She view a game."
636,train,sem_0255,pref:past_simple,para3,tense,You loveed a game.
637,train,sem_0099,acq:decl,para3,lex,She buy a movie.
638,train,sem_single_0980,play:ynq_do,singleton,single,do I play music?
639,train,sem_seed_pref_front_place,pref:front_place,singleton,single-seed,"in the park, You love music."
640,train,sem_0016,pref:front_place,para4,order,"in the city, We love juice."
641,train,sem_0275,drink:decl,para3,lex,She drink tea.
642,train,sem_0083,move:decl,para3,lex,He visit at the town.
643,train,sem_single_0990,pref:comparative,singleton,single,This movie is better than that film.
644,train,sem_0063,watch:decl,para3,base,We watch a game.
645,train,sem_0031,social:decl,para4,base,He use a phone.
646,train,sem_0019,eat:decl,para4,base,You order a sandwich.
647,train,sem_0073,social:decl,para3,lex,They meet tea.
648,train,sem_0289,watch:decl,para3,base,She view a game.
649,train,sem_0003,move:decl,para4,lex,We come to school.
650,train,sem_seed_pref_comparative,pref:comparative,singleton,single-seed,She prefer a novel to a book.
651,train,sem_0171,acq:decl,para3,base,I buy a movie.
652,train,sem_0079,acq:decl,para3,lex,We purchase lunch.
653,train,sem_single_0906,acq:negative_simple,singleton,single,You do not buy music.
654,train,sem_0169,drink:decl,para3,base,I sip juice.
655,train,sem_seed_drink_imperative,drink:imperative,singleton,single-seed,Please sip coffee.
656,train,sem_seed_play_going_to,play:going_to,singleton,single-seed,You are going to play music.
657,train,sem_0069,acq:decl,para3,lex,We buy music.
658,train,sem_0117,drink:front_place,para3,order,"at the city, He have pizza."
659,train,sem_0268,social:decl,para3,base,They help a friend.
660,train,sem_0010,learn:perfect_pr,para4,tense,She has read a novel.
661,train,sem_0015,social:future_will,para4,tense,They will make coffee.
662,train,sem_0214,move:decl,para3,lex,He visit at the station.
663,train,sem_seed_eat_modal_can,eat:modal_can,singleton,single-seed,I can order dinner.
664,train,sem_0256,call:front_place,para3,order,"at the office, They phone my father."
665,train,sem_0047,move:front_time,para4,order,"Now, You jog to the station."
666,train,sem_0073,social:past_simple,para3,tense,They chose coffee.
667,train,sem_0221,social:decl,para3,lex,We take my teacher.
668,train,sem_seed_call_front_time,call:front_time,singleton,single-seed,"Today, They text my teacher."
669,train,sem_0056,move:decl,para3,base,I jog to the office.
670,train,sem_0036,move:front_time,para4,order,"Today, They go to the station."
671,train,sem_0062,eat:decl,para3,base,We order pizza.
672,train,sem_0097,learn:present_cont,para3,tense,They are reviewing music.
673,train,sem_seed_move_imperative,move:imperative,singleton,single-seed,Please travel to the park.
674,train,sem_0093,social:decl,para3,lex,We help lunch.
675,train,sem_seed_pref_ynq_do,pref:ynq_do,singleton,single-seed,do We love pizza?
676,train,sem_0127,social:decl,para3,base,He help my mother.
677,train,sem_0048,eat:decl,para4,lex,They eat a sandwich.
678,train,sem_0246,eat:decl,para3,lex,They have a sandwich.
679,train,sem_0281,social:decl,para3,base,We start a book.
680,train,sem_single_0984,eat:conditional_if,singleton,single,"If it is warm, She eat pizza."
681,train,sem_0068,watch:decl,para3,lex,They watch a game.
682,train,sem_seed_social_past_cont,social:past_cont,singleton,single-seed,He was starting lunch.
683,train,sem_0093,social:decl,para3,base,We finish dinner.
684,train,sem_0136,social:decl,para3,base,We bring a phone.
685,train,sem_0066,pref:modal_can,para3,tense,I can like pizza.
686,train,sem_0057,pref:decl,para3,base,He prefer dinner.
687,train,sem_0022,learn:present_cont,para4,tense,She is learning a book.
688,train,sem_seed_play_decl,play:decl,singleton,single-seed,She play music.
689,train,sem_0272,call:past_simple,para3,tense,I phoned my father.
690,train,sem_0192,drink:front_time,para3,order,"Now, You drink tea."
691,train,sem_seed_move_negative_simple,move:negative_simple,singleton,single-seed,She does not come to the town.
692,train,sem_0009,call:decl,para4,base,We text my teacher.
693,train,sem_0288,call:decl,para3,lex,She phone my mother.
694,train,sem_seed_eat_wh_where,eat:wh_where,singleton,single-seed,Where do We eat?
695,train,sem_0281,social:decl,para3,lex,We help a novel.
696,train,sem_single_0919,pref:past_cont,singleton,single,You were prefering a sandwich.
697,train,sem_0106,social:decl,para3,lex,They make a computer.
698,train,sem_seed_pref_perfect_pr,pref:perfect_pr,singleton,single-seed,She has likeed a movie.
699,train,sem_0011,pref:decl,para4,lex,She like music.
700,train,sem_single_0928,acq:negative_simple,singleton,single,She does not pick a ticket.
701,train,sem_0035,call:decl,para4,lex,We text my mother.
702,train,sem_0074,learn:decl,para3,lex,We practice a novel.
703,train,sem_0034,pref:going_to,para4,tense,He is going to prefer lunch.
704,train,sem_0043,learn:past_simple,para4,tense,I reviewed a book.
705,train,sem_0124,eat:decl,para3,lex,We have pizza.
706,train,sem_0122,social:decl,para3,base,They use a computer.
707,train,sem_0000,eat:decl,para4,lex,You eat pizza.
708,train,sem_seed_watch_wh_when,watch:wh_when,singleton,single-seed,When does She see?
709,train,sem_0002,call:decl,para4,base,He call my teacher.
710,train,sem_single_0948,pref:because_cause,singleton,single,"I love pizza, because it is warm."
711,train,sem_0173,acq:decl,para3,lex,They purchase a book.
712,train,sem_0286,learn:decl,para3,base,They read a novel.
713,train,sem_0270,watch:decl,para3,base,You observe a movie.
714,train,sem_single_0976,call:negative_simple,singleton,single,You do not contact my mother.
715,train,sem_0125,move:decl,para3,base,He walk to the town.
716,train,sem_seed_move_decl,move:decl,singleton,single-seed,You come to home.
717,train,sem_0129,move:decl,para3,base,You visit at the station.
718,train,sem_0047,move:future_will,para4,tense,You will jog to the station.
719,train,sem_0059,watch:decl,para3,lex,He observe a game.
720,train,sem_seed_social_front_time,social:front_time,singleton,single-seed,"Today, You use a computer."
721,train,sem_0040,call:front_place,para4,order,"in the cafe, She call my father."
722,train,sem_0201,watch:modal_can,para3,tense,They can watch a movie.
723,train,sem_seed_move_going_to,move:going_to,singleton,single-seed,You are going to go to home.
724,train,sem_seed_acq_perfect_pr,acq:perfect_pr,singleton,single-seed,He has purchased pizza.
725,train,sem_seed_pref_wh_when,pref:wh_when,singleton,single-seed,When do I prefer?
726,train,sem_single_0947,play:front_place,singleton,single,"in home, We play a song."
727,train,sem_0202,drink:front_time,para3,order,"Now, She sip juice."
728,train,sem_0016,pref:decl,para4,base,We love juice.
729,train,sem_0142,move:front_time,para3,order,"Now, You visit at the cafe."
730,train,sem_0036,move:decl,para4,base,They go to the station.
731,train,sem_single_0918,drink:wh_what,singleton,single,What do You have?
732,train,sem_0297,watch:decl,para3,base,He view a movie.
733,train,sem_0012,social:future_will,para4,tense,I will bring a book.
734,train,sem_single_0978,watch:modal_can,singleton,single,We can watch a show.
735,train,sem_0046,acq:decl,para4,lex,I purchase a sandwich.
736,train,sem_single_0923,drink:wh_where,singleton,single,Where does She have?
737,train,sem_0092,acq:decl,para3,base,She buy a novel.
738,train,sem_single_0995,acq:wh_what,singleton,single,What do You purchase?
739,train,sem_0135,call:decl,para3,base,You contact my mother.
740,train,sem_0268,social:decl,para3,lex,They use my teacher.
741,train,sem_single_0921,acq:front_place,singleton,single,"in the park, They order a sandwich."
742,train,sem_single_0952,watch:imperative,singleton,single,Please observe a game.
743,train,sem_0050,pref:front_time,para4,order,"Today, They like a show."
744,train,sem_0101,move:front_place,para3,order,"at the station, They arrive."
745,train,sem_0051,watch:going_to,para4,tense,She is going to view a movie.
746,train,sem_0041,social:decl,para4,lex,I make a game.
747,train,sem_0171,acq:modal_can,para3,tense,I can buy a movie.
748,train,sem_single_0930,social:wh_what,singleton,single,What does She meet?
749,train,sem_0186,acq:decl,para3,lex,They purchase a sandwich.
750,train,sem_0132,drink:decl,para3,lex,You have water.
751,train,sem_0262,drink:present_cont,para3,tense,He is sipping tea.
752,train,sem_0162,learn:decl,para3,base,You practice a book.
753,train,sem_0141,move:decl,para3,base,I walk to the station.
754,train,sem_0045,pref:front_time,para4,order,"Yesterday, I like a sandwich."
755,train,sem_0035,call:front_time,para4,order,"Today, We phone my father."
756,train,sem_0277,call:decl,para3,base,He text my teacher.
757,train,sem_0034,pref:decl,para4,base,He prefer lunch.
758,train,sem_0243,learn:going_to,para3,tense,We are going to read a book.
759,train,sem_0295,drink:front_place,para3,order,"at the office, They sip tea."
760,train,sem_single_0926,acq:modal_can,singleton,single,She can get a computer.
761,train,sem_0004,social:front_time,para4,order,"Now, You meet my teacher."
762,train,sem_0095,learn:present_cont,para3,tense,We are learning a book.
763,train,sem_0000,eat:perfect_pr,para4,tense,You have had a sandwich.
764,train,sem_single_0909,drink:present_cont,singleton,single,I am drinking tea.
765,train,sem_0251,social:decl,para3,base,You finish dinner.
766,train,sem_0078,drink:decl,para3,lex,He drink lunch.
767,train,sem_0202,drink:decl,para3,base,She sip juice.
768,train,sem_0039,social:decl,para4,base,She finish a movie.
769,train,sem_0274,move:decl,para3,base,I run to the station.
770,train,sem_0008,drink:decl,para4,lex,He have tea.
771,train,sem_0143,learn:decl,para3,lex,She learn a song.
772,train,sem_0240,acq:decl,para3,base,They get a computer.
773,train,sem_0184,call:decl,para3,base,They contact my teacher.
774,train,sem_0045,pref:decl,para4,lex,I enjoy pizza.
775,train,sem_0082,learn:decl,para3,lex,He read a song.
776,train,sem_seed_call_modal_can,call:modal_can,singleton,single-seed,He can text a friend.
777,train,sem_single_0988,learn:front_place,singleton,single,"in the office, She review a novel."
778,train,sem_0027,pref:decl,para4,base,You like a movie.
779,train,sem_single_0982,watch:because_cause,singleton,single,"They view a game, because it is warm."
780,train,sem_0200,watch:decl,para3,base,They see a show.
781,train,sem_0030,learn:past_simple,para4,tense,We studied a song.
782,train,sem_0004,social:decl,para4,base,You meet my teacher.
783,train,sem_0194,move:decl,para3,lex,He go to the cafe.
784,train,sem_0245,eat:decl,para3,base,They order lunch.
785,train,sem_seed_eat_comparative,eat:comparative,singleton,single-seed,You prefer a sandwich to pizza.
786,train,sem_single_0942,play:conditional_if,singleton,single,"If it is warm, He play a game."
787,train,sem_0112,acq:present_cont,para3,tense,I am ordering lunch.
788,train,sem_0228,eat:decl,para3,lex,She order lunch.
789,train,sem_0166,learn:decl,para3,lex,He review music.
790,train,sem_0049,move:modal_can,para4,tense,I can come to the town.
791,train,sem_0078,drink:decl,para3,base,He have dinner.
792,train,sem_0297,watch:decl,para3,lex,He observe a film.
793,train,sem_seed_drink_future_will,drink:future_will,singleton,single-seed,I will drink water.
794,train,sem_0236,pref:decl,para3,base,She prefer a book.
795,train,sem_seed_watch_because_cause,watch:because_cause,singleton,single-seed,"He watch a film, because it is warm."
796,train,sem_seed_pref_wh_where,pref:wh_where,singleton,single-seed,Where do You like?
797,train,sem_0032,acq:present_cont,para4,tense,We are buyying a song.
798,train,sem_0066,pref:decl,para3,lex,I enjoy a sandwich.
799,train,sem_single_0925,call:because_cause,singleton,single,"She call a friend, because it is warm."
800,validation,sem_0112,acq:decl,para3,base,I order lunch.
801,validation,sem_0067,play:decl,para3,base,They play a game.
802,validation,sem_0127,social:front_time,para3,order,"Now, He help my mother."
803,validation,sem_0237,move:decl,para3,lex,We run to the station.
804,validation,sem_0048,eat:going_to,para4,tense,They are going to have pizza.
805,validation,sem_seed_social_front_place,social:front_place,singleton,single-seed,"at the cafe, He start lunch."
806,validation,sem_seed_social_going_to,social:going_to,singleton,single-seed,You are going to take a phone.
807,validation,sem_seed_drink_front_place,drink:front_place,singleton,single-seed,"in the city, I sip juice."
808,validation,sem_0005,play:decl,para4,base,We play a game.
809,validation,sem_0293,move:decl,para3,base,We travel to school.
810,validation,sem_0236,pref:front_time,para3,order,"Yesterday, She prefer a book."
811,validation,sem_seed_watch_present_cont,watch:present_cont,singleton,single-seed,I am watching a movie.
812,validation,sem_0016,pref:decl,para4,lex,We prefer water.
813,validation,sem_0121,move:front_time,para3,order,"Now, You walk to the town."
814,validation,sem_0139,learn:decl,para3,lex,You study a novel.
815,validation,sem_0192,drink:decl,para3,lex,You sip coffee.
816,validation,sem_seed_drink_wh_when,drink:wh_when,singleton,single-seed,When do They drink?
817,validation,sem_0109,call:decl,para3,lex,He contact my father.
818,validation,sem_0053,eat:decl,para4,base,She have a sandwich.
819,validation,sem_seed_watch_wh_where,watch:wh_where,singleton,single-seed,Where does He view?
820,validation,sem_0018,call:decl,para4,base,You text a friend.
821,validation,sem_0174,acq:front_time,para3,order,"Now, I get a phone."
822,validation,sem_0015,social:decl,para4,base,They make coffee.
823,validation,sem_0054,social:going_to,para4,tense,They are going to help my mother.
824,validation,sem_0266,acq:decl,para3,base,You pick a movie.
825,validation,sem_seed_learn_decl,learn:decl,singleton,single-seed,I study music.
826,validation,sem_0097,learn:decl,para3,lex,They read a song.
827,validation,sem_0011,pref:past_simple,para4,tense,She loveed a song.
828,validation,sem_0121,move:decl,para3,base,You walk to the town.
829,validation,sem_0291,social:going_to,para3,tense,They are going to bring a ticket.
830,validation,sem_0101,move:decl,para3,lex,They visit at the station.
831,validation,sem_seed_call_negative_simple,call:negative_simple,singleton,single-seed,He does not phone my father.
832,validation,sem_single_0969,social:front_time,singleton,single,"Today, I finish lunch."
833,validation,sem_0252,pref:decl,para3,lex,We love a song.
834,validation,sem_0128,call:decl,para3,base,She phone my father.
835,validation,sem_0295,drink:decl,para3,lex,They drink coffee.
836,validation,sem_0248,eat:decl,para3,base,She have lunch.
837,validation,sem_0226,play:decl,para3,base,You play a game.
838,validation,sem_0166,learn:decl,para3,base,He study a song.
